symbol,type,strike,expiration,source,timestamp,price_when_traded
LH,CALL,235,2025-03-28,21,11.69,245.48999999999998,Congress - April Mcclain Delaney,2025-03-23T03:33:44.111377,233.72
CPAY,CALL,345,2025-03-28,14,17.33,242.61999999999998,Congress - April Mcclain Delaney,2025-03-23T03:33:44.373076,346.57
V,CALL,335,2025-03-28,14,16.79,235.06,Congress - Josh Gottheimer,2025-03-23T03:33:44.633657,335.8
CACI,CALL,365,2025-03-28,13,18.31,238.02999999999997,Congress - April Mcclain Delaney,2025-03-23T03:33:44.894602,366.17
PAYX,CALL,145,2025-03-28,34,7.15,243.10000000000002,Congress - April Mcclain Delaney,2025-03-23T03:33:45.156771,143.01
LH,CALL,235,2025-03-28,21,11.69,245.48999999999998,Congress - April Mcclain Delaney,2025-03-23T03:33:45.418440,233.72
EPAC,CALL,40,2025-03-28,119,2.1,249.9,Congress - Gilbert Cisneros,2025-03-23T03:33:45.680290,42.095
UBER,CALL,75,2025-03-28,65,3.79,246.35,Congress - Gilbert Cisneros,2025-03-23T03:33:45.942597,75.87
DG,CALL,85,2025-03-28,59,4.18,246.61999999999998,Congress - Gilbert Cisneros,2025-03-23T03:33:46.203028,83.66
AMP,CALL,495,2025-03-28,10,24.63,246.29999999999998,Congress - Greg Landsman,2025-03-23T03:33:46.464496,492.54
FI,CALL,220,2025-03-28,22,10.91,240.02,Congress - Josh Gottheimer,2025-03-23T03:33:46.726562,218.125
CRWD,CALL,360,2025-03-28,13,18.12,235.56,Congress - Greg Landsman,2025-03-23T03:33:46.990463,362.44
AMZN,CALL,195,2025-03-28,25,9.81,245.25,Congress - Scott Scott Franklin,2025-03-23T03:33:47.252268,196.16
AMZN,CALL,195,2025-03-28,25,9.81,245.25,Congress - Scott Scott Franklin,2025-03-23T03:33:47.513861,196.16
HUM,CALL,265,2025-03-28,18,13.31,239.58,Congress - Gilbert Cisneros,2025-03-23T03:33:47.774522,266.255
AMZN,CALL,195,2025-03-28,25,9.81,245.25,Congress - Thomas H. Kean Jr,2025-03-23T03:33:48.034817,196.16
WYNN,CALL,85,2025-03-28,60,4.13,247.79999999999998,Congress - Gilbert Cisneros,2025-03-23T03:33:48.296842,82.65
TSLA,CALL,250,2025-03-28,20,12.44,248.79999999999998,Congress - Gilbert Cisneros,2025-03-23T03:33:48.560104,248.87
MRK,CALL,95,2025-03-28,53,4.66,246.98000000000002,Congress - Gilbert Cisneros,2025-03-23T03:33:48.820685,93.105
MSFT,CALL,390,2025-03-28,12,19.54,234.48,Congress - Gilbert Cisneros,2025-03-23T03:33:49.081409,390.8
AMZN,CALL,195,2025-03-28,25,9.81,245.25,Congress - Scott Scott Franklin,2025-03-23T03:33:49.342278,196.16
PFE,CALL,25,2025-03-28,190,1.31,248.9,Congress - Gilbert Cisneros,2025-03-23T03:33:49.604592,26.25
UNP,CALL,235,2025-03-28,21,11.7,245.7,Congress - Jefferson Shreve,2025-03-23T03:33:49.867099,233.92
PLD,CALL,110,2025-03-28,46,5.42,249.32,Congress - Jefferson Shreve,2025-03-23T03:33:50.129297,108.375
WTW,CALL,335,2025-03-28,15,16.64,249.60000000000002,Congress - Gilbert Cisneros,2025-03-23T03:33:50.391578,332.71
ORCL,CALL,150,2025-03-28,32,7.62,243.84,Congress - Jefferson Shreve,2025-03-23T03:33:50.652361,152.4
RTX,CALL,130,2025-03-28,37,6.62,244.94,Congress - Jefferson Shreve,2025-03-23T03:33:50.914536,132.32
HD,CALL,350,2025-03-28,14,17.57,245.98000000000002,Congress - Jefferson Shreve,2025-03-23T03:33:51.175337,351.335
OXY,CALL,50,2025-03-28,104,2.4,249.6,Congress - Jefferson Shreve,2025-03-23T03:33:51.437750,47.92
CI,CALL,315,2025-03-28,15,15.83,237.45,Congress - Jefferson Shreve,2025-03-23T03:33:51.699976,316.565
QCOM,CALL,155,2025-03-28,31,7.84,243.04,Congress - Jefferson Shreve,2025-03-23T03:33:51.962388,156.82
AVGO,CALL,190,2025-03-28,26,9.58,249.08,Congress - Jefferson Shreve,2025-03-23T03:33:52.223250,191.53
MSTR,CALL,305,2025-03-28,16,15.2,243.2,Congress - Jefferson Shreve,2025-03-23T03:33:52.484159,303.98
CSGP,CALL,80,2025-03-28,63,3.92,246.96,Congress - Jefferson Shreve,2025-03-23T03:33:52.746487,78.46
JNJ,CALL,165,2025-03-28,30,8.18,245.39999999999998,Congress - Jefferson Shreve,2025-03-23T03:33:53.008550,163.62
NVDA,CALL,120,2025-03-28,42,5.88,246.96,Congress - Jefferson Shreve,2025-03-23T03:33:53.270862,117.69
APD,CALL,290,2025-03-28,17,14.57,247.69,Congress - Jefferson Shreve,2025-03-23T03:33:53.532911,291.44
ADBE,CALL,385,2025-03-28,12,19.36,232.32,Congress - Jefferson Shreve,2025-03-23T03:33:53.796365,387.11
AMGN,CALL,315,2025-03-28,15,15.8,237.0,Congress - Jefferson Shreve,2025-03-23T03:33:54.058115,316.0
APP,CALL,315,2025-03-28,15,15.71,235.65,Congress - Jefferson Shreve,2025-03-23T03:33:54.320585,314.22
RGLD,CALL,155,2025-03-28,31,7.85,243.35,Congress - Jefferson Shreve,2025-03-23T03:33:54.582824,157.0
GE,CALL,205,2025-03-28,24,10.2,244.79999999999998,Congress - Jefferson Shreve,2025-03-23T03:33:54.845087,204.01
XOM,CALL,115,2025-03-28,43,5.77,248.10999999999999,Congress - Jefferson Shreve,2025-03-23T03:33:55.110747,115.41
FIS,CALL,75,2025-03-28,68,3.67,249.56,Congress - Jefferson Shreve,2025-03-23T03:33:55.373635,73.345
BUSE,CALL,20,2025-03-28,227,1.1,249.70000000000002,Congress - Jefferson Shreve,2025-03-23T03:33:55.636016,22.03
ELV,CALL,425,2025-03-28,11,21.35,234.85000000000002,Congress - Jefferson Shreve,2025-03-23T03:33:55.897092,426.92
VRTX,CALL,505,2025-03-28,9,25.16,226.44,Congress - Jefferson Shreve,2025-03-23T03:33:56.162690,503.135
LOW,CALL,225,2025-03-28,22,11.35,249.7,Congress - Jefferson Shreve,2025-03-23T03:33:56.425234,226.905
EXPO,CALL,80,2025-03-28,63,3.94,248.22,Congress - Jefferson Shreve,2025-03-23T03:33:56.686937,78.885
PFE,CALL,25,2025-03-28,190,1.31,248.9,Congress - Jefferson Shreve,2025-03-23T03:33:56.948135,26.25
PHM,CALL,105,2025-03-28,48,5.14,246.71999999999997,Congress - Jefferson Shreve,2025-03-23T03:33:57.210715,102.82
MRK,CALL,95,2025-03-28,53,4.66,246.98000000000002,Congress - Jefferson Shreve,2025-03-23T03:33:57.473361,93.105
ABBV,CALL,210,2025-03-28,23,10.5,241.5,Congress - Jefferson Shreve,2025-03-23T03:33:57.736334,210.03
ACGL,CALL,90,2025-03-28,54,4.6,248.39999999999998,Congress - Jefferson Shreve,2025-03-23T03:33:57.997819,92.01
DVN,CALL,35,2025-03-28,138,1.81,249.78,Congress - Jefferson Shreve,2025-03-23T03:33:58.260398,36.14
BC,CALL,55,2025-03-28,88,2.83,249.04000000000002,Congress - Jefferson Shreve,2025-03-23T03:33:58.521684,56.56
