timestamp,action,ticker,shares,price,reason
2025-03-26T05:28:30.664407,BUY,SRBK,414.2502,12.07,New Signal
2025-03-26T05:28:31.785362,BUY,ECAT,308.2614,16.22,New Signal
2025-03-26T05:28:32.865861,BUY,MCVT,2762.431,1.81,New Signal
2025-03-26T13:10:39.590695,BUY,RCG,1879.6992,2.66,New Signal
2025-03-26T13:10:40.690229,BUY,WEST,698.812,7.155,New Signal
2025-03-26T13:10:42.866841,BUY,BLNE,2336.4485,2.14,New Signal
2025-03-26T13:10:43.938604,BUY,EONR,9426.8481,0.5304,New Signal
2025-03-26T13:10:46.068421,BUY,FLWS,823.7232,6.07,New Signal
2025-03-26T13:10:47.189933,BUY,PSEC,1179.2731,4.2399,New Signal
2025-03-26T13:10:48.305552,BUY,CULP,948.7666,5.27,New Signal
2025-03-26T13:10:49.497452,BUY,BA,27.8792,179.345,New Signal
2025-03-26T13:10:50.612025,BUY,MCVT,2746.4982,1.8205,New Signal
2025-03-26T13:10:53.988149,BUY,PESI,658.7615,7.59,New Signal
2025-03-26T13:10:59.363416,SELL,CULP,948.7666,5.27,Stop-loss triggered
2025-03-26T13:11:02.550352,SELL,MCVT,2746.0,1.8205,Stop-loss triggered
2025-03-26T13:11:48.084722,SHORT,NVDA,65,113.55,Short Signal
2025-03-26T13:11:48.654242,SHORT,BWIN,167,44.49,Short Signal
2025-03-26T13:11:49.247765,SHORT,COST,8,927.235,Live Signal
2025-03-26T13:13:30.246610,BUY,CULP,944.9418,5.27,New Signal
2025-03-26T13:13:31.352691,BUY,MCVT,2735.4262,1.8205,New Signal
2025-03-26T13:13:39.033313,SELL,CULP,944.9418,5.27,Stop-loss triggered
2025-03-26T13:13:42.247894,SELL,MCVT,2735.0,1.8205,Stop-loss triggered
2025-03-26T13:21:03.837813,SELL,BLNE,2336.0,2.198,Target hit
2025-03-26T13:24:04.190803,SELL,EONR,9427.0,0.518,Stop-loss triggered
2025-03-26T13:45:04.921889,SELL,PESI,659.0,7.47,Stop-loss triggered
2025-03-26T14:03:07.186364,SELL,WEST,698.812,7.06,Stop-loss triggered
2025-03-26T14:18:04.138675,SELL,FLWS,823.7232,5.95,Stop-loss triggered
2025-03-26T15:21:05.203921,SELL,RCG,1880.0,2.595,Stop-loss triggered
2025-03-27T00:57:58.400010,BUY,RCG,1911.7628,2.58,New Signal
2025-03-27T00:58:00.521454,BUY,WEST,690.8051,7.14,New Signal
2025-03-27T00:58:02.639186,BUY,EONR,9864.696,0.5,New Signal
2025-03-27T00:58:03.713829,BUY,FLWS,824.8074,5.98,New Signal
2025-03-27T00:58:04.781329,BUY,BLNE,2371.3212,2.08,New Signal
2025-03-27T00:58:05.878427,BUY,CULP,957.7375,5.15,New Signal
2025-03-27T00:58:06.946979,BUY,BTMD,1325.9,3.72,New Signal
2025-03-27T00:58:08.028306,BUY,PESI,657.6464,7.5,New Signal
2025-03-27T00:58:11.231504,BUY,MCVT,2770.9821,1.78,New Signal
2025-03-27T01:06:03.795101,BUY,RCG,1911.7628,2.58,New Signal
2025-03-27T01:06:05.914094,BUY,WEST,690.8051,7.14,New Signal
2025-03-27T01:06:08.034162,BUY,EONR,9864.696,0.5,New Signal
2025-03-27T01:06:09.103745,BUY,FLWS,824.8074,5.98,New Signal
2025-03-27T01:06:10.174295,BUY,BLNE,2371.3212,2.08,New Signal
2025-03-27T01:06:11.286240,BUY,CULP,957.7375,5.15,New Signal
2025-03-27T01:06:12.353875,BUY,BTMD,1325.9,3.72,New Signal
2025-03-27T01:06:13.442837,BUY,PESI,657.6464,7.5,New Signal
2025-03-27T01:06:16.653619,BUY,MCVT,2770.9821,1.78,New Signal
2025-03-27T03:20:43.577812,BUY,RCG,1911.7628,2.58,New Signal
2025-03-27T03:20:44.716860,BUY,BLNE,2371.3212,2.08,New Signal
2025-03-27T03:20:46.866740,BUY,FLWS,824.8074,5.98,New Signal
2025-03-27T03:20:47.951205,BUY,EONR,9864.696,0.5,New Signal
2025-03-27T03:20:49.039395,BUY,TTSH,757.6571,6.51,New Signal
2025-03-27T13:01:08.248182,BUY,RCG,1952.8097,2.52,New Signal
2025-03-27T13:01:09.335865,BUY,BLNE,2288.8745,2.15,New Signal
2025-03-27T13:01:11.468399,BUY,FLWS,816.0996,6.03,New Signal
2025-03-27T13:01:12.555106,BUY,EONR,8892.4479,0.5534,New Signal
2025-03-27T13:01:13.645471,BUY,TTSH,761.7772,6.46,New Signal
2025-03-27T13:01:15.808704,BUY,WEST,689.227,7.14,New Signal
2025-03-27T13:01:16.930904,BUY,MKZR,3037.704,1.62,New Signal
2025-03-27T13:01:20.305752,BUY,PESI,624.5026,7.88,New Signal
2025-03-27T13:01:21.394004,BUY,SRBK,401.403,12.2597,New Signal
2025-03-27T13:01:22.477932,BUY,MSTR,15.2455,322.79,New Signal
2025-03-27T13:01:24.731556,SELL,BLNE,2289.0,2.14,Stop-loss triggered
2025-03-27T13:01:30.018097,SELL,PSEC,1179.2731,4.1701,Stop-loss triggered
2025-03-27T13:01:31.134551,SELL,RCG,1953.0,2.52,Stop-loss triggered
2025-03-27T13:15:13.948884,BUY,RCG,1942.0956,2.52,New Signal
2025-03-27T13:15:15.124131,BUY,BLNE,2319.4698,2.11,New Signal
2025-03-27T13:15:18.351148,BUY,PSEC,1170.8328,4.18,New Signal
2025-03-27T13:15:23.788490,SELL,EONR,8892.0,0.541,Stop-loss triggered
2025-03-27T13:15:30.422077,SELL,RCG,1942.0,2.52,Stop-loss triggered
2025-03-27T13:21:02.902355,BUY,RCG,1934.332,2.52,New Signal
2025-03-27T13:21:05.105383,BUY,EONR,9010.1967,0.541,New Signal
2025-03-27T13:21:11.561412,SELL,EONR,9010.0,0.541,Stop-loss triggered
